Perth,-31.9522,115.8589,Australia,AU,Western Australia,admin,2059484,2039200
Bunbury,-33.3333,115.6333,Australia,AU,Western Australia,,74363,71090
Geraldton,-28.7744,114.6089,Australia,AU,Western Australia,,37648,37648
Albany,-35.0228,117.8814,Australia,AU,Western Australia,,34205,29373
Kalgoorlie,-30.7489,121.4658,Australia,AU,Western Australia,,29849,29849
Busselton,-33.6478,115.3458,Australia,AU,Western Australia,,25329,25329
Kwinana,-32.2394,115.7702,Australia,AU,Western Australia,,20086,17549
Karratha,-20.7364,116.8464,Australia,AU,Western Australia,,16708,16708
Australind,-33.2792,115.715,Australia,AU,Western Australia,,14539,14539
Broome,-17.9619,122.2361,Australia,AU,Western Australia,,14445,4042
Port Hedland,-20.31,118.6011,Australia,AU,Western Australia,,14320,4180
Esperance,-33.8611,121.8919,Australia,AU,Western Australia,,12145,2144
Yanchep,-31.55,115.634,Australia,AU,Western Australia,,8868,8868
Bentley,-32.001,115.924,Australia,AU,Western Australia,,8782,8782
Lesmurdie,-31.994,116.05,Australia,AU,Western Australia,,8437,8437
Mandurah,-32.5289,115.7231,Australia,AU,Western Australia,,7837,7837
Fremantle,-32.0569,115.7439,Australia,AU,Western Australia,,7459,7459
Collie,-33.363,116.156,Australia,AU,Western Australia,,7192,7192
Northam,-31.6531,116.6661,Australia,AU,Western Australia,,6548,6548
Margaret River,-33.955,115.075,Australia,AU,Western Australia,,6392,6392
Cannington,-32.0167,115.95,Australia,AU,Western Australia,,5929,5929
Bullsbrook,-31.663,116.03,Australia,AU,Western Australia,,5448,5448
Dunsborough,-33.6167,115.1,Australia,AU,Western Australia,,5320,5320
Kununurra,-15.7736,128.7386,Australia,AU,Western Australia,,5308,5308
Pinjarra,-32.63,115.8711,Australia,AU,Western Australia,,4910,4910
Newman,-23.3539,119.7319,Australia,AU,Western Australia,,4567,4567
Carnarvon,-24.8672,113.6611,Australia,AU,Western Australia,,4426,4426
Manjimup,-34.2411,116.1464,Australia,AU,Western Australia,,4349,4349
Narrogin,-32.936,117.178,Australia,AU,Western Australia,,4274,4274
Katanning,-33.6908,117.5553,Australia,AU,Western Australia,,3687,3687
Derby,-17.3056,123.6339,Australia,AU,Western Australia,,3325,3325
Yunderup,-32.5833,115.8,Australia,AU,Western Australia,,3114,3114
Tom Price,-22.6939,117.795,Australia,AU,Western Australia,,3005,3005
Two Rocks,-31.495,115.588,Australia,AU,Western Australia,,2990,2990
Waroona,-32.8667,115.9167,Australia,AU,Western Australia,,2934,2934
Leschenault,-33.245,115.735,Australia,AU,Western Australia,,2932,2932
Merredin,-31.482,118.279,Australia,AU,Western Australia,,2850,2850
Donnybrook,-33.58,115.82,Australia,AU,Western Australia,,2824,2824
Bridgetown,-33.9583,116.1381,Australia,AU,Western Australia,,2812,2812
Harvey,-33.08,115.89,Australia,AU,Western Australia,,2750,2750
Wooroloo,-31.803,116.314,Australia,AU,Western Australia,,2642,2642
Denmark,-34.96,117.3531,Australia,AU,Western Australia,,2558,2558
York,-31.8883,116.7686,Australia,AU,Western Australia,,2548,2535
Kambalda,-31.2,121.67,Australia,AU,Western Australia,,2539,2539
Capel,-33.557,115.57,Australia,AU,Western Australia,,2509,2509
Exmouth,-21.9331,114.1281,Australia,AU,Western Australia,,2486,2486
